,unit,SH_r2,SI_r2,SL_r2,final_r2,probe,session,SH_rate,SI_rate,SL_rate,total_rate,presence_ratio,amplitude_cutoff,isi_violations,rf_x,rf_y
39,103,0.0,0.0,0.0,0.0,probeC,767871931,2.2142879513921514,3.4450538289660777,2.537209682695453,1.79771822357133,0.99,0.00368055620506094,0.128418650485446,3,4
40,104,0.0,0.0,0.0,0.0,probeC,767871931,18.55209997181246,12.23237863091611,12.301684658161596,10.5926361311614,0.99,0.00044449276346094,0.00302630753909395,4,4
41,105,0.0,0.0,0.0,0.008394050060603475,probeC,767871931,3.2556609978389557,2.338005281332521,1.9381746810598626,2.04625208851325,0.99,0.00403735780671476,0.423504710266104,4,4
42,108,0.0,0.0,0.0,0.00574274490915605,probeC,767871931,2.9706536377587778,3.0773918342474103,1.9831534183840367,1.88901843236126,0.99,0.00599439459264509,0.30662267280543,3,3
43,110,0.0,0.0,0.0,0.0,probeC,767871931,2.300416549218579,2.226284785699777,1.369807000327118,1.43674518198296,0.99,1.81309130533939e-05,0.0182775996146449,1,2
44,112,0.0,0.005904622450895958,0.0,0.0,probeC,767871931,2.582291960286887,2.69754214909608,2.1876022244030096,1.81936050018636,0.99,0.00054069023708248,0.0113983276085043,3,4
45,114,0.0,0.0,0.0,0.0,probeC,767871931,26.739014688840868,14.539914686166973,13.047922800130847,18.2601424197359,0.99,0.000209177305261334,0.00701555489013992,4,4
46,115,0.0,0.0,0.0,0.0,probeC,767871931,1.6254815371605753,1.4726792606134471,2.657834478246647,1.68688963495204,0.97,0.0169084166264621,0.145847169179957,4,3
47,116,0.0,0.0,0.0,0.0,probeC,767871931,1.6724607723386264,2.086126345724152,1.8339057899901865,1.67289765146604,0.99,0.0316515208824909,0.215704844060317,3,4
48,117,0.0,0.0,0.0,0.0,probeC,767871931,2.9737855867706475,2.49644525695714,2.7580143931959435,1.91186864999666,0.99,0.0979901448752257,0.381912856705184,4,5
49,128,0.0,0.0,0.0,0.0,probeC,767871931,10.870995020201072,10.877513711151737,9.609093882891724,7.53765262888432,0.99,0.0107091678840821,0.0896479139956408,4,4
50,129,0.0,0.0,0.0,0.0,probeC,767871931,8.744401641141284,7.6944952264879145,6.106885835786719,6.1914023616777,0.99,0.0365966710761186,0.264760310297301,4,4
51,130,0.0,0.0,0.0,0.0,probeC,767871931,23.545992671239315,23.172862075969938,18.49852796859666,13.1305202149668,0.99,0.0402197199440319,0.148159702559801,4,5
52,134,0.0,0.0,0.0,0.0,probeC,767871931,2.951861943687557,2.0678448100751576,1.347317631665031,1.10546735714544,0.99,0.006973899738361,0.12349426898314,4,4
53,135,0.0,0.0,0.0,0.08846585034934495,probeC,767871931,12.377462494910585,6.656510257972782,3.193490350016356,5.6056516285481,0.99,0.0384666204831461,0.073241340540409,4,3
54,142,0.0,0.0,0.0,0.0,probeC,767871931,1.5706724294528487,1.9784684135689623,1.4066077854105332,1.58743582427459,0.99,0.000166370878213372,0.0149722236024689,4,3
55,143,0.0,0.0,0.0,0.0,probeC,767871931,15.11478593128504,19.87202925045704,15.239614000654235,11.3782004414112,0.99,0.0146207558914428,0.118030488798938,4,4
56,144,0.0,0.0,0.0,0.0,probeC,767871931,2.629271195464938,2.096282754418038,1.9218187765783448,1.92716923625473,0.99,0.00206002892572342,0.0304761571586997,4,5
57,146,0.01877644920949595,0.0,0.0,0.01670367903747778,probeC,767871931,3.4639356071283163,2.7706682916920577,1.717369970559372,1.58119479566933,0.99,0.000399350916786738,0.105634540114964,4,5
58,150,0.0,0.0,0.0,0.06083051488685791,probeC,767871931,6.11982836919415,4.527726995734309,1.445453058554138,2.21969228668859,0.99,0.0493955194971435,0.176124976685169,4,4
59,162,0.0,0.0,0.0,0.0,probeC,767871931,10.528046603401298,9.638431850497664,10.565914295060518,7.1139673159882,0.99,0.0493128673570225,0.337717160652424,4,5
60,165,0.0174429001960561,0.013860420174926702,0.0,0.023578091763837693,probeC,767871931,2.5775940367690815,2.000812512695511,1.091756624141315,1.06520265646631,0.99,0.00242775663491244,0.0665034494793212,5,4
61,166,0.0,0.0,0.02879847328829983,0.08054103223368299,probeC,767871931,19.682733565097564,16.65244769449523,5.863591756624142,6.1916036851811,0.99,0.0420947271455988,0.297220870111737,4,4
62,172,0.0,0.020135453892109335,0.032226020464574054,0.05214889767931519,probeC,767871931,5.905289861881049,13.164736949014829,12.236261040235524,8.39871325290746,0.99,0.0892330881585299,0.186671740808559,4,5
63,174,0.0,0.018271428915433187,0.0,0.061697427548101993,probeC,767871931,11.636756553603309,6.240097501523462,2.680323846908734,5.61390589218732,0.99,0.0789804534667759,0.377102104355228,3,3
64,176,0.0,0.0,0.0,0.0,probeC,767871931,2.8093582636474683,2.732073938655292,2.316404972194962,1.5871338390195,0.99,0.0428543142926563,0.299558433979924,5,5
65,177,0.0,0.0,0.0,0.015773985001590485,probeC,767871931,4.185849854364371,3.3577087141986595,1.7459928034020282,2.46198512302524,0.99,0.0583362794013305,0.267655557518143,5,5
66,180,0.0,0.0,0.0,0.012412370218754454,probeC,767871931,26.840803031726647,22.00284379443429,15.495175008177952,12.0092489628048,0.99,0.00932774198114639,0.0449984185219301,5,5
0,2,0.0,0.0,0.0,0.0,probeD,767871931,2.377149300009396,2.0637822465976035,2.383873078181223,1.86929072986113,0.99,0.0599738335902198,0.0971779936277225,1,2
1,3,0.014529406123994847,0.0,0.0,0.012794701094315153,probeD,767871931,2.305114472736384,2.327848872638635,1.559944389924763,1.62337380724127,0.96,0.00418372717705916,0.157483384430461,4,1
2,5,0.008654821881683117,0.0,0.0,0.0996717706988353,probeD,767871931,7.1752951861943695,4.9035141174080845,1.6355904481517827,3.00747437458594,0.99,0.0244287296271059,0.129311439378513,3,2
3,6,0.020781638096085953,0.018650676334115435,0.02788021455685874,0.03082504678745024,probeD,767871931,6.025869898838048,5.592118626853545,4.726856395158652,5.13385549346512,0.99,0.0827504503733213,0.124540640719998,4,5
4,7,0.0,0.0,0.0,0.14782877013984697,probeD,767871931,9.157818910708135,5.3727401990656105,2.741658488714426,5.35410364192695,0.99,0.0486863317371112,0.0973951420694942,1,2
5,26,0.0,0.005740795508231433,0.0,0.03217553855030333,probeD,767871931,3.694133859500768,4.5663213487710745,1.9504416094210009,2.89251853110175,0.99,0.0283082476640648,0.117246576701149,3,4
6,29,0.0,0.0,0.01749418479077893,0.04873153530099807,probeD,767871931,1.4297347239186948,3.5283363802559418,3.410206084396467,3.01079621594757,0.99,0.0071275983228705,0.15399907926236,5,2
7,30,0.010495392397538517,0.0,0.0,0.01679998752436058,probeD,767871931,7.886247611888879,6.72151127361365,5.5753189401373895,4.93192780342196,0.99,0.0276950430518182,0.119436323772994,3,3
8,34,0.0,0.0,0.0,0.06983635055162632,probeD,767871931,10.048858404585175,6.473694901482836,3.945861956166176,3.35304653805461,0.99,0.084780750359408,0.39598794793109,4,1
9,35,0.0,0.0,0.0,0.012345623121033222,probeD,767871931,7.438378903191457,6.095876498070283,3.5982989859339223,5.96129597808862,0.99,0.0331283680723122,0.146513228885584,2,2
10,36,0.00636258413046209,0.006570871512490384,0.0,0.11991965569597263,probeD,767871931,6.548905383820352,2.494413975218363,1.9095518482172065,4.86438369573554,0.99,0.0894238614218442,0.0797248074991807,3,4
11,50,0.0,0.0,0.0,0.0,probeD,767871931,9.979955526324032,9.717651838309974,5.297268563951587,4.3387274657229,0.99,0.0020226839205435,0.0020042614859642,3,2
12,52,0.0,0.0,0.0,0.007668017681032602,probeD,767871931,2.447618152776473,1.4767418240910015,1.5170101406607785,2.46450430474906,0.99,0.00899126820687006,0.0931775356659552,4,2
13,53,0.0,0.0,0.0,0.024915882544479896,probeD,767871931,7.317798866234458,4.107251675807435,3.281403336604514,2.45061296814589,0.99,0.000545745756336308,0.0188473772374812,3,6
14,54,0.00826481567725752,0.010991782564981544,0.0,0.0,probeD,767871931,13.315481223965675,12.185659150924234,16.86498200850507,12.7890892422647,0.99,0.00376964231397512,0.00853496238706231,3,2
15,56,0.0,0.007956585404282568,0.01688486054712681,0.014506776706681879,probeD,767871931,1.0554668170002193,1.4178346536664637,1.9259077526987243,1.40242102576334,0.99,0.00406011039805303,0.153466038177772,1,1
16,57,0.0,0.0,0.0,0.1879450575189123,probeD,767871931,56.2826897178114,35.86431037984969,18.054874059535493,25.0644003539311,0.99,0.0720706791078777,0.00642611159379477,3,2
17,60,0.0,0.0,0.0,0.03190297404744517,probeD,767871931,9.450656143317987,7.570587040422508,4.508096172718352,6.86091101593294,0.99,3.79680333946271e-06,0.000801522189367241,3,3
18,62,0.007847296408690729,0.0,0.0,0.04702578857979269,probeD,767871931,8.522033261298507,6.7804184440381885,3.31207065750736,5.30165881315702,0.99,0.000132907180615505,0.0,4,3
19,66,0.0,0.0,0.0,0.0,probeD,767871931,10.650192614864231,8.732480195003047,6.039417729800458,8.41009703276453,0.99,0.00012140480959439,0.000533429598903163,3,2
20,73,0.0,0.0,0.0,0.023336412983126033,probeD,767871931,6.047793541921139,4.582571602681292,2.7845927379784103,4.38020015181352,0.99,0.00021783994586473,0.00786595038565766,3,2
21,74,0.006103569127857367,0.0,0.0,0.048300406910692505,probeD,767871931,7.690500798646999,3.7050578915295556,2.381828590121034,3.37015905415996,0.99,0.0487614345565777,0.18602287605842,1,3
22,75,0.0,0.005378587633624599,0.0,0.10469424655662145,probeD,767871931,7.299007172163238,5.256957139955312,2.191691200523389,3.3234519513783,0.99,0.00190467474574625,0.0,1,3
23,77,0.0,0.0,0.0,0.032039171370891226,probeD,767871931,12.933383444517524,10.895795246800732,6.936947988223749,8.19256675450767,0.99,0.000149695365247171,0.00224853233348607,1,2
24,78,0.0,0.0,0.0,0.039057938645297184,probeD,767871931,16.259513295123558,10.142189721714402,9.819676153091265,12.659940076599,0.99,0.00232577074367089,0.0105932284188604,3,2
25,88,0.0,0.0,0.0,0.011044544448038773,probeD,767871931,2.327038115819475,1.5762746292910828,1.4597644749754661,1.31524785548549,0.99,0.000669679440096957,0.0,2,4
26,89,0.0,0.0,0.0,0.0,probeD,767871931,9.226721788969277,8.484663822872234,5.871769708864901,4.68611154266155,0.99,0.0558812400783922,0.121986628504587,3,1
27,90,0.0,0.0,0.0,0.01524240585006471,probeD,767871931,4.008894735193712,3.3902092220190942,2.2019136408243374,2.9983141453766,0.99,0.0838346286999205,0.2685992711717,4,2
28,94,0.0,0.0,0.0,0.034847135613371674,probeD,767871931,13.742992264085942,11.594556164940078,5.908570493948315,8.32775563173996,0.99,0.001660391199329,0.0440664633319984,2,2
29,102,0.011981905603984466,0.0,0.0,0.08925896238090703,probeD,767871931,6.2873876413292,6.798699979687183,1.4638534510958456,3.30231296089521,0.99,0.0216187067224423,0.0934128084473452,3,2
0,8,0.0,0.0,0.0,0.01746104318385424,probeF,767871931,3.9102383413198036,2.6812918951858626,1.837994766110566,3.36320087093927,0.99,0.0662588933167635,0.146765699919637,1,1
1,9,0.0,0.01226745524629842,0.0,0.016769841667935027,probeF,767871931,5.776879952394376,3.5811497054641483,4.297513902518809,3.63961730838799,0.99,0.000345065550768219,0.0512670784359175,1,5
2,10,0.0,0.00828910189023535,0.007775489611186281,0.013575975350852332,probeF,767871931,5.070625450217671,4.202721917529962,3.3550049067713443,4.48869693325324,0.99,0.0449742738960159,0.117971605276428,3,1
3,25,0.0,0.0,0.0,0.0,probeF,767871931,10.343261611700962,10.763761933780216,7.384690873405299,7.19890675185098,0.99,0.00152448115351994,0.0414972451622717,3,7
4,31,0.0,0.0,0.0,0.0,probeF,767871931,14.829778571204862,10.814543977249645,12.070657507360156,12.3336490949898,0.99,0.0282126032484938,0.0386917995585928,6,4
5,45,0.0,0.0,0.0,0.0,probeF,767871931,13.86044035203107,14.523664432256755,10.437111547268564,11.0615899107074,0.99,0.0526017959726205,0.171441986935022,1,7
6,46,0.0,0.0,0.0,0.0,probeF,767871931,26.78599392401892,25.57586837294333,20.70861956166176,22.2597774563813,0.99,0.0344276867975905,0.0650270034709421,2,7
7,47,0.0,0.0,0.0,0.0,probeF,767871931,31.65774061198284,31.503148486695107,27.11195616617599,26.5746320052668,0.99,0.0161702243713811,0.0381453145392696,1,7
8,52,0.0,0.0,0.0,0.0,probeF,767871931,17.922578220426573,19.770465163518182,14.8286719005561,16.9129413646247,0.99,1.66737973027216e-05,0.00158277968261748,1,7
9,54,0.005779120830117046,0.019771206044963584,0.009395837014989073,0.03186183242648788,probeF,767871931,4.301731967803565,4.180377818403413,1.6805691854759568,3.12312322952806,0.99,0.000928560291293861,0.027076798062526,2,1
10,55,0.0,0.0,0.02095049790715413,0.028878991418367094,probeF,767871931,4.181151930846566,2.3908186065407273,1.815505397448479,1.80556505408511,0.99,0.000724309780347593,0.0347194215379574,2,1
0,8,0.0,0.011208618477474275,0.01266374077794794,0.009357902147277275,probeE,767871931,7.294309248645433,7.5015234613040835,6.85312397775597,6.64578154802711,0.99,0.0745269024086974,0.491194912155857,5,7
1,13,0.013443793883855148,0.0,0.007337493663068684,0.007453455439612622,probeE,767871931,1.4172069278712145,1.3040828762949421,1.4515865227347071,2.44104455460622,0.99,0.00201640726491702,0.132967658226366,3,1
2,16,0.006510298154928739,0.0,0.0,0.05869987737199482,probeE,767871931,7.505715806946664,4.269754214909608,2.8520608439646713,2.40057857889687,0.99,0.00107789121672077,0.0327352973089207,3,6
3,24,0.0,0.0,0.0,0.07317417951803491,probeE,767871931,4.567947633812522,1.8484663822872234,1.347317631665031,3.77712638443255,0.99,0.0311168910706653,0.0793371068755903,4,7
4,31,0.0,0.0,0.0,0.14410511647544733,probeE,767871931,18.384540699677412,10.68251066422913,5.199133137062479,8.93684027226784,0.99,0.0821667595927444,0.439804660734501,4,7
5,32,0.0,0.0,0.0,0.0,probeE,767871931,1.2809671458548657,1.5478366849482024,1.2778050376185803,1.13989231077777,0.99,0.00414837912816355,0.34844299339193,6,3
6,36,0.0,0.0,0.0,0.0,probeE,767871931,3.8350715650349216,2.756449319520618,3.6862119725220803,7.8826110095713,0.99,0.00538126387459965,0.0139657988650825,7,2
7,37,0.013542011865137149,0.0,0.0,0.018943896435937725,probeE,767871931,5.155188073538163,4.440381880966891,2.770281321557082,2.38688859706486,0.99,0.00103844445347694,0.205293657702856,4,7
8,54,0.0,0.0,0.0,0.0,probeE,767871931,13.169845594913717,10.174690229534837,7.388779849525679,10.6901645630774,0.99,0.000115805775938705,0.00198089112889661,4,4
9,60,0.0,0.0,0.0,0.0,probeE,767871931,16.11074571705973,16.236034938045908,13.47726529277069,12.0473853354384,0.97,6.56564773082389e-05,0.0,4,4
10,61,0.00920195064731677,0.0,0.0,0.0,probeE,767871931,6.7571799931097125,7.8021531586431045,6.2622669283611385,7.72940400701004,0.99,0.041114029228791,0.0738876721116522,2,5
11,62,0.0,0.0,0.0,0.052354420825393946,probeE,767871931,10.373015127313728,7.507617306520415,3.606476938174681,6.10462461913791,0.99,0.0158527993595321,0.114403326881486,6,6
12,64,0.0,0.0,0.0,0.006064109381473703,probeE,767871931,2.9268063515925964,2.7523867560430633,1.7930160287863919,3.41353657283512,0.99,0.0158788858859567,0.126279724185389,1,4
13,65,0.0,0.0,0.0,0.0,probeE,767871931,11.406558301230858,12.8559821247207,10.428933595027805,9.28754539508219,0.99,0.000110880444930164,0.0,2,4
14,69,0.0,0.0,0.013149466392730713,0.06530748653725334,probeE,767871931,10.498293087788532,8.066219784684137,3.53696434412823,5.4105626725808,0.99,0.0295268638284392,0.150792289743717,4,7
15,72,0.01259321833148339,0.0,0.0,0.01104974584564875,probeE,767871931,1.8854333051457925,1.4909607962624418,1.2737160614982008,1.74617731500017,0.99,0.0246641916411285,0.17323254671278,7,5
16,73,0.0,0.0,0.0,0.0,probeE,767871931,1.6066898430893546,2.2100345317895593,1.8768400392541706,2.11097506617101,0.99,0.00871787841624909,0.118533188392014,4,7
17,74,0.0,0.0,0.023438867781389726,0.009667153427795828,probeE,767871931,3.0614801591030103,2.916920576884014,2.3613837095191363,3.42803184771608,0.98,0.00028867617322808,0.0256849325214354,4,6
18,76,0.0,0.0,0.0,0.008103696309354636,probeE,767871931,2.193930282814996,1.7144017875279303,1.3677625122669284,1.71014045106,0.99,0.0601871730268636,0.270915512583638,5,7
19,78,0.06428264221834792,0.012270766840726477,0.0,0.008735742517892442,probeE,767871931,7.566788812678131,9.400771887060737,7.5952731436048415,6.45220923138761,0.99,4.03799078526465e-06,0.0,6,5
20,79,0.0,0.0,0.0,0.0,probeE,767871931,8.825832315449906,6.800731261425961,4.072620215897939,6.03013501211075,0.99,0.000336196201931743,0.00207517182366574,5,5
21,81,0.0,0.0,0.0,0.0,probeE,767871931,12.582605155188075,11.161893154580541,6.859257441936539,9.45162385380417,0.99,0.0659428791048652,0.0240735497968347,4,6
22,84,0.0,0.0,0.0,0.0,probeE,767871931,1.7116101349870025,1.649400771887061,1.0999345763820738,2.7363857803058,0.99,0.0107240253856047,0.0403100628496142,4,3
23,85,0.0,0.0,0.0,0.008100236871405663,probeE,767871931,3.0724419806445553,3.457241519398741,1.9995093228655545,2.2830057937513,0.99,0.0924331630034274,0.318505390865467,6,7
24,86,0.02233316100202809,0.018599806954375686,0.008175519136178755,0.02697412581247265,probeE,767871931,2.8547715243195846,3.010359536867764,1.7889270526660124,2.14570332890665,0.99,0.00762026663874755,0.114727313444845,5,5
25,87,0.02990740513179595,0.03143733591942914,0.051426120076799677,0.046657273215866726,probeE,767871931,4.464593316420809,3.9833434897420275,2.7518809290153747,2.91888531752234,0.99,0.0322540239590248,0.407410203461367,4,6
26,88,0.0,0.0,0.0,0.0,probeE,767871931,2.023239061668076,2.628478569977656,1.3963853451095845,2.02128555284507,0.99,0.000480578031964558,0.0184694001256741,6,5
27,89,0.0,0.0,0.0,0.011541031154813374,probeE,767871931,45.99736916283003,37.0729230144221,24.78737324174027,33.3103429997098,0.99,5.03620717176452e-05,0.00105409953714034,5,7
28,94,0.058111385775517735,0.016616873747415294,0.0,0.09060197044939367,probeE,767871931,9.976823577312162,9.559211862685355,3.2793588485443244,5.79790862912203,0.99,0.0747114986645742,0.489352592675011,4,7
0,2,0.0,0.0,0.0,0.017609895886203097,probeB,767871931,4.31269378934511,4.129595774933984,2.5208537782139353,4.16448121411393,0.99,0.0456389509550145,0.143582392076445,2,5
1,3,0.035958188501674385,0.012007251514765494,0.0,0.07138261736023639,probeB,767871931,4.50844060258699,3.6786512289254523,1.5415439973830554,2.74424323461299,0.99,0.0542613201830901,0.0951891524697583,1,4
2,5,0.0,0.0,0.0,0.044291463314341396,probeB,767871931,6.033699771367723,4.917733089579525,3.320248609748119,4.65530837323552,0.99,0.0291134778904814,0.0557098684453412,2,1
3,11,0.0,0.0,0.0,0.13617253573859311,probeB,767871931,10.589119609132764,4.738980296567134,1.8359502780503762,3.62402776511396,0.99,0.00114635565662793,0.0545820234676471,1,4
4,18,0.0,0.005511310540516923,0.011402160125976035,0.1248276025735606,probeB,767871931,10.549970246484389,4.678041844403819,3.117844291789336,6.26811246335984,0.99,0.00107369229258227,0.05089573295041,6,7
5,19,0.014855881438121466,0.0650752964877049,0.040272882687087244,0.09436998141503009,probeB,767871931,16.727739672398137,11.082673166768231,8.451913640824337,10.0020629638636,0.99,0.00234185562272173,0.0113141296207108,1,2
6,26,0.0,0.007067676342474893,0.01964433217033572,0.040259920451842124,probeB,767871931,5.22565692630524,3.036766199471867,3.205757278377494,3.60349274861256,0.99,0.00300764988036352,0.0813560378951406,2,2
7,33,0.0,0.0,0.0,0.01790639501379221,probeB,767871931,1.5722384039587838,2.7747308551696124,2.892950605168466,2.07262740080263,0.99,0.0668470981759058,0.263486183843003,1,6
8,39,0.0,0.0,0.0,0.0,probeB,767871931,9.745059350433776,6.534633353646151,6.691609421000981,7.41233566223908,0.99,0.00237028318163512,0.00618032647632271,6,6
9,43,0.0,0.0,0.0,0.0,probeB,767871931,13.916815434244732,11.929717651838311,10.426889106967614,10.4056163028543,0.99,0.00747066582920317,0.0292700007960584,1,1
10,44,0.0,0.0,0.0,0.0,probeB,767871931,7.17842713520624,7.9118423725370715,6.3338240104677785,4.96293097337408,0.99,0.000207372850582872,0.0229770279641475,1,2
11,46,0.0,0.0,0.0,0.0,probeB,767871931,15.590842181089293,13.115986187284177,10.371687929342492,12.6934587295392,0.99,0.000309522340552827,0.0,1,1
12,49,0.0,0.0,0.0,0.023177348096295635,probeB,767871931,10.636098844310816,8.789356083688808,6.160042525351652,9.0211132785396,0.99,0.0967320862035944,0.135375988974061,1,1
